"面积","房型","装修","租金压付","租金","楼层","所属区域","所在小区","朝向","租赁方式","类型","位置","标题"
"91平米","3室2厅1卫","精装修","半年付","2500元/月","15/33","雁塔","万科高新华府","东南","整租","普通住宅","西沣路","西沣二路 万科高新华府 海亮新英里 金地西方需要 多套房源"
"154平米","3室2厅2卫","精装修","半年付押1","2800元/月","4/11","未央","EE康城东区","东南","整租","普通住宅","张家堡","行政中心 中医院  EE康城大三室 精装修 随时看房"
"50平米","1室1厅1卫","毛坯","半年付","1300元/月","12/32","雁塔","城市皇冠","朝南","整租","普通住宅","光华路","高新四路 城市皇冠 标准一室 拎包入住 地铁口 近新西蓝丹枫"
"30平米","3室1厅2卫","精装修","付1押1","1150元/月","10/29","雁塔","风度天城","朝南","合租","普通住宅","大寨路","《可月付》《免物业》《首月房租减800》风度天城 拎包入住"
"98平米","3室2厅1卫","精装修","半年付","1500元/月","6/6","灞桥","金裕青青家园西区","朝南","整租","普通住宅","十里铺","灞桥十里铺酒十路 金裕青青家园 三室全配 拎包入住 看房方便"
"45平米","2室1厅1卫","简单装修","面议","1200元/月","5/5","碑林",,"南北","整租","普通住宅","黄雁村","含光门外 中通二局北院 两室中装 采光好 干净整洁 看房方便"
"91平米","2室2厅1卫","精装修","年付","4000元/月","17/18","雁塔","中海紫御华府","朝南","整租","普通住宅","大唐芙蓉园","境商速递 中海紫御华府 精装两室全配 拎包入住 看房方便"
"103平米","2室2厅2卫","简单装修","年付","1800元/月","12/34","灞桥","沁水新城","朝南","整租","普通住宅","长乐坡","沁水新城 名厨明卫 地理位置好"
"76平米","1室1厅1卫","精装修","半年付","3000元/月","1/34","雁塔","中海紫御华府","朝南","整租","普通住宅","大唐芙蓉园","境商速递 中海紫御华府 精装一室拎包入住 诚心出租"
"75平米","2室2厅1卫","简单装修","半年付","1800元/月","6/6","雁塔","西安文理学院翠华路住宅区","南北","整租","普通住宅","翠华路","翠华路小学 文理学院2室75平米采光好 1800元急租"
"144平米","4室2厅2卫","精装修","付3押1","3000元/月","15/27","雁塔","复地优尚国际","南北","整租","普通住宅","鱼化寨","标准的精装4室2厅1厨2卫，家具家电全配"
"140平米","3室2厅2卫","精装修","半年付押1","2200元/月","4/32","长安","航天翼城","朝东","整租","普通住宅","航天城","航天翼城！三室精装空房！阳光通透！"
"99平米","3室2厅1卫","精装修","半年付","2400元/月","26/30","长安","雅居乐花园","南北","整租","普通住宅","郭杜","雅居乐花园三室精装全配出租 看房方便拎包入住!"
"94平米","2室2厅1卫","精装修","半年付","3000元/月","25/33","新城","宫园壹号","西南","整租","普通住宅","北关","龙首十字 地铁上方 2居室 精装修 拎包入住 采光特别好"
"95平米","3室2厅1卫","精装修","付3押1","2700元/月","26/33","未央","世茂都","南北","整租","普通住宅","北苑","城市运动公园世茂都3室95平 精装拎包入住"
"110平米","3室1厅1卫","简单装修","半年付押1","2150元/月","20/33","未央","文景雅苑","东北","整租","普通住宅","方新村","文景路 文景雅苑 精装3室 半年付 拎包入住 性价高2150"
"69平米","1室2厅1卫","精装修","付3押1","2200元/月","19/30","雁塔","绿地世纪城","南北","整租","普通住宅","锦业路","绿地世纪城 豪装大一居 南北通透 随时看房 随时住"
"77平米","2室2厅1卫","简单装修","付3押1","1500元/月","3/7","雁塔","万国花园","南北","整租","普通住宅","明德门","电子二路，万国花园，业主自主房，拎包入住"
"94平米","2室2厅1卫","精装修","半年付","3500元/月","16/32","雁塔","铭城","东南","整租","普通住宅","大寨路","大寨路铭城国际社区两室简欧装修，全配拎包入住"
"40平米","1室1厅1卫","精装修","面议","1700元/月","10/22","雁塔","七克拉晶座","朝南","整租","公寓","锦业路","锦业路 七克拉晶座 精装家具家电齐全 拎包入住"
"56平米","1室1卫","简单装修","半年付押1","1600元/月","4/20","雁塔","壹又贰分之壹国际公寓","朝北","整租","公寓","小寨","小寨东路一又二分之一公寓大开间简装修空调部分家具家电1600"
"76平米","2室1厅1卫","精装修","付3押1","2400元/月","2/17","雁塔","兰乔圣菲","南北","整租","普通住宅","电子城","兰乔圣菲 2室1厅1卫 太白南路 电子三路"
"89平米","2室2厅1卫","精装修","半年付押1","3000元/月","7/30","雁塔","伟业公馆","朝南","整租","普通住宅","大寨路","科技路西口 伟业公馆2室 全新家具 英伦小调 随时看拎包入住"
"51平米","1室1厅1卫","精装修","半年付","1800元/月","8/12","雁塔","融侨紫薇馨苑","朝东","整租","普通住宅","电子城","电子城 融侨馨苑 精装一室全配 有钥匙 拎包入住"
"93平米","2室2厅1卫","精装修","面议","1800元/月","3/28","灞桥","广厦水岸东方一期","朝南","整租","普通住宅","长乐坡","水岸东方1期 2室2厅 93平"
"164平米","4室2厅2卫","精装修","面议","4500元/月","9/10","雁塔","西安锦都","南北","整租","普通住宅","光华路","唐延路 西安锦都 四室该两室 全配空房都可以 随时看房"
"28平米","3室1厅2卫","精装修","付1押1","920元/月","8/29","雁塔","风度天城","朝南","合租","普通住宅","大寨路","《收月免租金》丈八北路地铁 科技路 风度天城 三室精装"
"40平米","1室1厅1卫","精装修","付3押1","1500元/月","26/33","雁塔","幸福时光","朝南","整租","普通住宅","明德门","东仪路，苹果城，阳光丽都。一室，拎包入住。"
"96平米","2室2厅1卫","毛坯","半年付","2600元/月","18/29","雁塔","中天国际公寓","东北","整租","普通住宅","光华路","太白南路地铁口 两居室居家精装修 带壁挂 环境优美随时看房"
"80平米","2室2厅1卫","精装修","半年付","2600元/月","15/27","雁塔","东方米兰","朝南","整租","普通住宅","大寨路","地铁口 东方米兰 精装两室 两房朝南 客厅朝南 带阳台"
"76平米","2室2厅1卫","精装修","付3押1","1900元/月","16/32","雁塔","新乐城","朝南","整租","普通住宅","大寨路","高新区 大寨路 新乐城 76平 精装两室 免费带看"
"92平米","2室2厅1卫","精装修","半年付","1700元/月","4/33","未央","西岸国际花园西苑","朝南","整租","普通住宅","矿山路","西岸国际花园 两室 家具全有 随时看房子 有空调"
"30平米","4室1厅2卫","精装修","付1押1","1200元/月","15/32","雁塔","群贤道九号","朝南","合租","公寓","光华路","高新路南二环群贤道九号 精装主卧 拎包入住"
"55平米","1室2厅1卫","精装修","半年付","1500元/月","2/28","长安","春天花园","朝东","整租","普通住宅","长安广场","春天花园一室,价位美丽"
"92平米","2室2厅1卫","精装修","半年付","2900元/月","19/32","雁塔","华城国际","南北","整租","普通住宅","电视塔","房东自住型装修，真实照片，实地拍摄，干净清爽，随时来电看房！"
"20平米","2室1厅1卫","简单装修","半年付押1","900元/月","7/25","碑林","公安五处小区","朝南","合租","普通住宅","黄雁村","两室合租找小伙伴！想合租的都点进来看看！说不定就有你喜欢的哦"
"63平米","1室1卫","精装修","面议","1600元/月","3/8","碑林","景致雅居","朝南","整租","普通住宅","南稍门","草场坡 省体地铁口 温馨一室 精装全配 超大阳台 景致雅居"
"78平米","2室2厅1卫","精装修","付3押1","3200元/月","21/34","雁塔","万科金域曲江","南北","整租","普通住宅","南湖","荣和曲池东安 紫薇意境隔壁 万科金域曲江 精装两居"
"33平米","1室1厅1卫","精装修","面议","2000元/月","30/30","长安","林隐天下(公寓)","朝南","整租","公寓","祝村中学","高新西部大道企业一号公园林隐天下精装一室家电家具齐全看房方便"
"106平米","3室2厅1卫","简单装修","半年付押1","2200元/月","17/33","雁塔","金辉世界城C区","南北","整租","普通住宅","金滹沱","地铁口 金辉世界城 纯南小三室 精装空房 卫浴全明 随时看房"
"149平米","4室2厅2卫","精装修","面议","4500元/月","17/30","未央","紫薇希望城","南北","整租","普通住宅","张家堡","凤城五路 紫薇希望城 四室精装修 中央空调拎包入住带车位"
"132平米","3室2厅2卫","精装修","面议","4000元/月","23/33","雁塔","中海东郡","南北","整租","普通住宅","大唐芙蓉园","钥匙在店可随时看 中海东郡 近学/校 家私齐全 居家陪读直选"
"55平米","1室1厅1卫","精装修","付3押1","2300元/月","10/33","碑林","长安壹栋","朝北","整租","普通住宅","南稍门","玛雅 南稍门地铁口 长安壹栋 一室一厅 简欧装修 有钥匙"
"66平米","2室2厅1卫","精装修","面议","2300元/月","15/30","雁塔","九形道","朝西","整租","普通住宅","大寨路","享受不代表忍受，九形道两室精装修，拎包入住，看房方便，欧式风"
"33平米","1室1厅1卫","精装修","面议","1500元/月","21/30","长安","林隐天下(公寓)","朝南","整租","普通住宅","祝村中学","高新企业一号公园西部大道阳光天地林隐天下精装一室全配拎包入住"
"90平米","2室2厅1卫","精装修","半年付","1200元/月","20/30","雁塔","三五零七社区","朝南","整租","普通住宅","大寨路","大寨路 3507社区 三部空调 随时看房 价格实惠 1200"
"78平米","2室1厅1卫","精装修","付3押1","2000元/月","12/29","未央","九合院锦福苑","朝南","整租","普通住宅","方新村","未央区 名京九合院2室精装空房 业主心态好 交通便利随时看"
"167平米","4室2厅2卫","豪华装修","面议","5000元/月","4/14","雁塔","中海华庭","南北","整租","普通住宅","光华路","南二环 西高新 中海华庭 精装四室 南北通透 拎包入住"
"130平米","3室2厅2卫","精装修","付3押1","2200元/月","6/7","西安周边","阳光小区","南北","整租","普通住宅","咸阳","西影路 阳光小区 3室精装全配 拎包入住 业主自住 双气入户"
"60平米","1室1厅1卫","豪华装修","面议","2000元/月","23/33","长安","满堂悦MOMA","朝南","整租","普通住宅","八一小学","华为旁边满堂悦一室一厅豪华装修！婚首租！拎包入住！随时看房！"
"120平米","3室2厅2卫","精装修","半年付","1600元/月","12/32","未央","青门口花园","西南","整租","普通住宅","行政中心","青门口花园 三室空房西南朝向"
"141平米","3室2厅2卫","精装修","半年付","5500元/月","19/33","雁塔","中海御湖","南北","整租","普通住宅","大唐芙蓉园","曲江大道 中海御湖公馆 精装三室 全配拎包住"
"98平米","2室2厅1卫","精装修","半年付押1","2400元/月","14/18","雁塔","幸福时光","朝南","整租","普通住宅","明德门","幸福时光，电子二路，博爱医院附近，交通便利，"
"138平米","3室2厅1卫","精装修","半年付","1800元/月","26/32","莲湖","华府御城","南北","整租","普通住宅","丰禾路","二环内华府御城3室2厅1卫1厨精装好房出售了"
"45平米","1室1厅1卫","毛坯","面议","1500元/月","16/28","长安","万科城一期","东南","整租","公寓","郭杜","万科城棉花公寓，一居室，独立客厅，卫生间，随时看房，约约约！"
"25平米","4室2厅2卫","简单装修","付1押1","800元/月","12/22","莲湖","铜雀台","朝南","合租","普通住宅","丰庆公园","押一付一 土门十字 铜雀台 和基听成 农检大厦 暖气热水精装"
"90平米","2室2厅1卫","精装修","付3押1","1800元/月","14/33","雁塔","锦都荟","朝南","整租","普通住宅","锦业路","锦业路 2室大户型 白菜价出租 业主急租 家具家电齐全"
"90平米","2室2厅1卫","精装修","付3押1","2000元/月","9/32","雁塔","枫韵蓝湾","东南","整租","普通住宅","大寨路","高新区科技路地铁口 东方米兰 融侨城 恒大城2室2000急租"
"48平米","1室1卫","精装修","半年付","1600元/月","14/26","雁塔","龙记观澜山","朝东","整租","普通住宅","高新一中","软件园旁 龙记观澜山 精装一室  可办公 价格可小刀"
"44平米","1室1卫","精装修","半年付押1","1800元/月","22/34","莲湖","西市佳园","朝北","整租","普通住宅","丰庆公园","大塘西市 西市佳园 一室开间 精装全配 拎包入住 随时看房"
"28平米","3室2厅2卫","精装修","付1押1","800元/月","9/34","莲湖","西城芳洲","南北","合租","公寓","土门","月付啦 西二环 西城芳洲小区 干净卫生 环境优美 拎包入住"
"93平米","2室2厅1卫","简单装修","半年付","1500元/月","13/18","未央","华远君城","朝南","整租","普通住宅","辛家庙","简装两室空房带空调，纯南户型，看房钥匙"
"90平米","2室2厅1卫","精装修","半年付押1","1500元/月","8/18","未央","浐灞半岛新泽美域A6区","朝南","整租","普通住宅","浐灞半岛","浐灞半岛A6区两室精装全配，离地铁口近，交通便利，随时看房"
"139平米","3室2厅2卫","精装修","半年付","3600元/月","29/34","雁塔","中海碧林湾","南北","整租","普通住宅","大唐芙蓉园","中海碧林湾三室精装全配，业主自住标准拎包入住"
"105平米","3室2厅2卫","精装修","付3押1","2400元/月","11/12","雁塔","旭景碧泽园","南北","整租","普通住宅","大寨路","旭景碧泽园 自带幼儿园 精装温馨三居 拎包住 有钥匙"
"170平米","4室2厅2卫","精装修","面议","3200元/月","11/15","雁塔","双维花溪湾","南北","整租","普通住宅","电子城","电子城花溪湾四居室南北通风一梯2户南北办公居家都可以"
"87平米","2室2厅1卫","简单装修","付3押1","2300元/月","2/33","未央","天朗御湖","朝南","合租","普通住宅","张家堡","城北经开 凤城八路 天朗御湖  拎包入住"
"110平米","3室2厅2卫","精装修","付3押1","2800元/月","20/26","雁塔","金泰假日花城","南北","整租","普通住宅","电子城","电子城 三居室 精装修  带全新家电家具 拎包入住 暖气空调"
"88平米","2室2厅1卫","简单装修","半年付","2200元/月","6/18","雁塔","我爱我家","南北","整租","普通住宅","明德门","W爱我家  南北通透阳光房  看房有钥匙"
"101平米","3室2厅1卫","精装修","半年付","1800元/月","20/33","灞桥","恒大绿洲","朝南","整租","普通住宅","长乐坡","恒大绿洲 小三室 精装修 有家具 随时看房"
"42平米","1室1厅1卫","精装修","面议","1300元/月","4/32","灞桥","龙湖香醍国际","朝北","整租","普通住宅","长乐坡","地铁口 精装一室 配套齐全 拎包入住 随时看房"
"58平米","1室1卫","精装修","半年付押1","1700元/月","8/28","新城","大明宫寓","朝东","整租","普通住宅","北关","龙首原地铁口 大明宫寓 精装修 1室开间 拎包入住1700元"
"82平米","2室1厅1卫","精装修","付3押1","1800元/月","14/28","灞桥","尚东国际城","朝东","整租","普通住宅","席王","精装全配 拎包入住 交通便利"
"98平米","2室2厅1卫","精装修","面议","2400元/月","24/30","雁塔","万科高新华府","南北","整租","普通住宅","西沣路","万科高新华府精装2室全配拎包入住可长租业主诚心看房提前联系"
"111平米","2室2厅1卫","精装修","面议","2100元/月","27/33","雁塔","绿港花园","朝南","整租","普通住宅","高新一中","第二学校对面绿港花园精装两室全配陪读醉美之地保洁已做有钥匙"
"56平米","1室2厅1卫","精装修","半年付押1","1600元/月","12/18","未央","浐灞半岛新泽美域A6区","朝南","整租","普通住宅","浐灞半岛","浐灞半岛 1室精美装修 家具家电全配 学校旁 可拎包入住"
"84平米","2室1厅1卫","精装修","半年付押1","2500元/月","13/26","雁塔","天朗蓝湖树","西北","整租","普通住宅","鱼化寨","科技路西口地铁口 交通便利 全配两室户型 拎包入住看房有钥匙"
"43平米","1室1卫","精装修","半年付","2100元/月","23/34","莲湖","西市佳园","朝北","整租","普通住宅","丰庆公园","西市佳园 一室 精装 带家具家电 拎包入住 交通便利素质住户"
"65平米","2室1厅1卫","精装修","半年付","1500元/月","6/6","莲湖","莲湖一社区","南北","整租","普通住宅","西大街","莲湖路北大街十字附近地铁口2室1厅1500精装双气家具家电"
"129平米","3室2厅2卫","精装修","面议","2200元/月","24/32","未央","华远君城","朝南","整租","普通住宅","辛家庙","华远君城打三居室  采光好"
"104平米","2室2厅2卫","简单装修","付3押1","3000元/月","2/32","雁塔","曲江风景线","朝南","整租","普通住宅","大唐芙蓉园","曲江风景线 2室2厅精装全配，干净出租"
"73平米","2室2厅1卫","毛坯","半年付","2500元/月","8/33","碑林","学府首座","东北","整租","普通住宅","西安交大","精装修 看房方便  交大附近 交大附中旁"
"50平米","1室1厅1卫","精装修","付3押1","1550元/月","5/7","莲湖","军民共建楼","南北","整租","普通住宅","丰庆公园","丰庆路 丰庆公园 军民共建楼 精装一室 拎包入住 双气南北"
"47平米","1室1卫","精装修","半年付","1899元/月","7/17","雁塔","摩登BOBO","朝北","整租","普通住宅","科技路","雁塔区地铁口白沙路 摩登BOBO小区 精装一室大开间 拎包住"
"49平米","1室1厅1卫","简单装修","半年付押1","1350元/月","24/30","莲湖","太奥国际城","朝北","整租","公寓","丰禾路","*公寓，居住舒适，周边商圈吃喝玩乐不发愁！"
"42平米","1室1厅1卫","精装修","半年付押1","1650元/月","15/30","雁塔","天朗蓝湖树","朝北","整租","普通住宅","鱼化寨","科技路西口 大型社区 绿化高 楼间距大 紧挨地铁口 配套齐全"
"80平米","2室2厅1卫","简单装修","半年付押1","800元/月","4/6","新城","前景花园","朝南","整租","普通住宅","含元路","元丰怡家隔壁小区 前景花园两室房屋出租，有部分家具，真实信息"
"35平米","1室1厅1卫","精装修","付3押1","1500元/月","18/33","长安","林隐天下(公寓)","朝南","整租","公寓","祝村中学","高新 西部大道 紫薇阳光天地 温馨1室 全新家电 钥匙在店"
"40平米","1室1厅1卫","精装修","半年付","1800元/月","31/33","碑林","大话南门","朝北","整租","普通住宅","南稍门","南稍门地铁口 大话南门 精装一室全配 拎包住"
"45平米","1室1卫","精装修","半年付","1700元/月","15/32","雁塔","城市风景夏日景色","朝北","整租","普通住宅","高新一中","高新区 地铁口 丈八北路 夏日景色 一室 拎包入住 看房方便"
"75平米","2室2厅1卫","简单装修","付3押1","1600元/月","1/1","雁塔","万科高新华府","南北","整租","普通住宅","西沣路","万科高新华府对面 西沣馨苑 2室2厅 拎包入住 配的美得很"
"174平米","3室2厅2卫","毛坯","付3押1","7000元/月","5/24","雁塔","紫薇永和坊(公寓)","南北","整租","普通住宅","雁塔南路","紫薇永和坊精装大3室新房出租"
"55平米","1室1厅1卫","精装修","面议","1150元/月","13/28","莲湖","皇族名居","朝南","整租","普通住宅","红庙坡","鸵鸟王大厦 皇.族名居 精装双气三线 拎包入住 标准一室小户"
"91平米","2室2厅1卫","精装修","半年付","1800元/月","27/33","未央","开元第一城","朝南","整租","普通住宅","行政中心","文景中学对面 开元城两室精装修 拎包入住 近学校 出行方便"
"72平米","1室2厅1卫","简单装修","付3押1","2300元/月","2/34","雁塔","大华阳光曼哈顿","朝南","整租","普通住宅","高新一中","太白南路大华阳光曼哈顿精装一居 精装全配诚意出租"
"93平米","2室2厅1卫","精装修","面议","1900元/月","23/33","莲湖","天赐苑","西南","整租","普通住宅","红庙坡","天赐苑朝南户型 两室全配！！！"
"110平米","2室2厅1卫","精装修","面议","3000元/月","17/20","未央","汇景凯跃","朝西","整租","普通住宅","方新村","龙首村地铁口，汇景凯跃2室精装全配拎包入住，随时看房"
"86平米","2室2厅1卫","精装修","半年付","2100元/月","6/28","雁塔","罗曼公社","朝东","整租","普通住宅","电子城","高新 万达one旁 精装两居室 拎包入住 罗曼公社"
"172平米","4室2厅2卫","毛坯","付3押1","6500元/月","8/16","雁塔","曲江华府(公寓)","南北","整租","普通住宅","雁塔南路","曲江华府 四室精装全配 南北通透 拎包入住"
"113平米","3室2厅1卫","简单装修","付3押1","2500元/月","5/34","未央","华远海蓝城","南北","整租","普通住宅","矿山路","临近地铁 温馨3居室   新房出租采光全天"
"182平米","4室2厅2卫","精装修","半年付","5000元/月","14/22","雁塔","城市风景都市印象","南北","整租","普通住宅","科技路","科技路西口 都市印象 四室大房 带车位仅租5000 看房随时"
"83平米","2室2厅1卫","精装修","半年付押1","2500元/月","9/32","莲湖","蔚蓝印象","西北","整租","普通住宅","丰禾路","玉祥门 地铁口 蔚蓝领寓 2室精装全配 业主自住 拎包入住"
"40平米","1室1卫","精装修","半年付押1","1550元/月","12/21","雁塔","都市印象SOLO街区","朝西","整租","普通住宅","科技路","都市印象一室精装全配，看房方便，拎包入住，地铁口，配套齐全"
"79平米","2室2厅1卫","精装修","半年付","2500元/月","2/32","莲湖","嘉天Smart","东南","整租","普通住宅","丰庆公园","近二环 嘉天精装小两室 配套齐全 看房有钥匙 交通便利"
"42平米","1室1厅1卫","简单装修","半年付","1400元/月","4/18","新城","恒大嘉里公馆","朝东","整租","普通住宅","建工路","建工路 一室精装修 随时看房 拎包入住 市政公馆 粉红色系列"
"45平米","1室1卫","精装修","半年付押1","1500元/月","1/32","未央","新一代北城国际","朝北","整租","普通住宅","方新村","文景路，北城国际一室开间，拎包入住，双气出行便利，看房有钥匙"
"85平米","2室2厅1卫","精装修","半年付押1","2300元/月","20/33","莲湖","蔚蓝领寓","东南","整租","普通住宅","丰禾路","玉祥门 地铁口 蔚蓝领寓 精装两室 家电齐全 拎包入住 急租"
"46平米","1室1卫","简单装修","半年付","1200元/月","20/23","未央","龙首苑","朝北","整租","普通住宅","方新村","龙首商业街 龙首苑 1居室 集中供暖 户型方正 1200元"
"88平米","2室2厅1卫","精装修","面议","1799元/月","16/32","碑林","兰蒂斯城","东南","整租","普通住宅","西安交大","交大东南门 兰蒂斯城 精装两房 东南向 采光好 干净整洁"
"56平米","2室1厅1卫","简单装修","半年付","1500元/月","25/32","未央","凤城明珠","朝北","整租","普通住宅","市图书馆","北二环 地铁口 小两室 全配1500每月 诚心出租 看好来"
"28平米","2室2厅2卫","精装修","付1押1","800元/月","8/20","莲湖","凤城文景轩","朝南","合租","普通住宅","龙首村","龙首原地铁口附近 凤城文景轩 精装全配 押一付一 没有*"
"90平米","2室2厅1卫","精装修","付3押1","2000元/月","3/12","雁塔","旭景碧泽园","朝南","整租","普通住宅","大寨路","高新区 大寨路 旭景碧泽园 拎包入住 仅2000"
"202平米","4室2厅2卫","精装修","付3押1","7500元/月","16/33","雁塔","中海御湖","朝南","整租","普通住宅","大唐芙蓉园","中海御湖精装4居室诚意出租 随时看房 随时签约"
"42平米","1室1厅1卫","精装修","付3押1","1400元/月","14/34","雁塔","东尚蜂鸟","朝南","整租","普通住宅","中兴产业园","高新产业园 东尚 海棠 1室精装全配 紧邻华为中兴 钥匙在手"
"85平米","2室2厅1卫","精装修","面议","1800元/月","5/12","雁塔","旭景碧泽园","南北","整租","普通住宅","大寨路","高新大寨路 旭景碧泽园  精装两室 南北通透 急租！"
"142平米","3室2厅2卫","精装修","面议","4000元/月","1/10","雁塔","曲江兰亭","南北","整租","普通住宅","南湖","曲江兰亭 南湖畔 一楼精装修带家具家电 拎包住随时可看"
"133平米","3室2厅2卫","精装修","年付押1","4600元/月","31/33","碑林","伊顿公馆","南北","整租","普通住宅","西工大","急租丨西工大旁 伊顿公馆西区 精装三室长租房 快来看房吧"
"42平米","1室1卫","精装修","半年付","1500元/月","30/30","碑林","自由自宅","朝东","整租","普通住宅","李家村","文艺南路 自由自宅 1室0厅1卫 房间整洁干净 拎包入住"
"113平米","2室2厅1卫","简单装修","面议","2300元/月","26/26","未央","菁华名门","西南","整租","普通住宅","张家堡","房东自住型装修,真实照片,实地拍摄,干净清爽,随时来电看房！"
"28平米","3室2厅2卫","精装修","付3押1","680元/月","18/30","莲湖","唐都温泉花园","朝南","合租","普通住宅","汉城路","城西客运站 唐都温泉花园 精装主卧 温馨宜居 无中介特惠直租"
"50平米","1室1卫","简单装修","半年付押1","1000元/月","13/33","未央","青门口花园","朝北","整租","普通住宅","行政中心","凤城九路 青门口花园 中间楼层 一室开间 配简单家具"
"116平米","3室2厅1卫","精装修","半年付","2400元/月","14/32","长安","雅居乐铂琅峯","南北","整租","普通住宅","郭杜","雅居乐勃朗峰，116平三室全配出租有钥匙看房方便"
"120平米","3室2厅1卫","精装修","半年付","2100元/月","2/7","长安","智慧城","南北","整租","普通住宅","长安广场","百闻不如一见！3房 3房 献给懂得享受的你！实木家具干净利落"
"128平米","3室2厅2卫","精装修","半年付押1","4500元/月","10/18","雁塔","绿地世纪城","南北","整租","普通住宅","锦业路","绿地世纪城    128平三室  装修到位  家具家电齐全"
"56平米","1室1卫","精装修","面议","2100元/月","12/30","碑林","大话南门","朝南","整租","普通住宅","南稍门","草场坡 南稍门地铁口 大话南门 温馨一室全配 采光好交通便利"
"85平米","2室2厅1卫","精装修","面议","1800元/月","11/27","未央","颐和郡","南北","整租","普通住宅","市图书馆","新出好房 颐和郡小区 两室精装全配 拎包即住 仅需1800"
"160平米","3室2厅1卫","精装修","付3押1","3400元/月","12/32","莲湖","旭景名园","南北","整租","普通住宅","西关正街","西稍门  旭景名园 精装修3室,采光好,业主自住型 看房随时"
"48平米","1室1卫","精装修","面议","2200元/月","13/21","雁塔","class国际公馆","朝北","整租","普通住宅","高新一中","已做保洁 class公馆 精装一室 全配拎包住 带阳台"
"120平米","3室2厅2卫","精装修","付3押1","1900元/月","5/16","灞桥","东方罗马花园","朝南","整租","普通住宅","十里铺","东二环边东方罗马花园复式楼上下120平米三室精装修拎包即住。"
"83平米","2室1厅1卫","简单装修","半年付","1600元/月","17/33","未央","金桥国际广场","朝北","合租","普通住宅","三桥","三桥地铁口金桥国际两室出租，空房，可办公，可居住，双气入户"
"89平米","2室2厅1卫","精装修","半年付","2300元/月","15/31","碑林",,"朝南","整租","普通住宅","南稍门","南稍门 友谊东路 泰华世纪新城二期 2室2厅1卫 宽敞明亮"
"89平米","2室2厅1卫","精装修","半年付","2000元/月","9/18","雁塔","华府新桃园","东南","整租","普通住宅","大寨路","大寨路 昆明路 土门 高新区 附近 二室配套 月租 2000"
"91平米","2室2厅1卫","精装修","年付","1800元/月","5/18","未央","美都香域","南北","整租","普通住宅","市图书馆","美都香域  91平米2室2厅1卫   精装全配   拎包入住"
"147平米","3室2厅2卫","豪华装修","面议","5000元/月","12/12","雁塔","水晶国际","南北","整租","普通住宅","科技路","高新一中隔壁 水晶国际3室首租带车位领包入住型看房方便"
"93平米","2室1厅1卫","简单装修","半年付押1","2500元/月","21/22","碑林","都市凰庭","东西","整租","普通住宅","黄雁村","小南门外 交通便利 都市凰庭 两室采光好 干净整洁 看房方便"
"43平米","1室1厅1卫","精装修","半年付押1","1800元/月","23/34","莲湖","西市佳园","朝北","整租","普通住宅","丰庆公园","境商 西工大 西市佳园 精装修大开间 自住装修 全配拎包入住"
"80平米","2室1厅1卫","豪华装修","付3押1","2400元/月","10/30","雁塔","华城国际","朝南","整租","普通住宅","电视塔","电视塔 高端小区 华城国际 两居室豪装全新欧式家具电拎包入住"
"90平米","2室2厅1卫","精装修","面议","1900元/月","18/33","未央","中登家园","朝南","整租","普通住宅","张家堡","地铁口 西安中学旁 高档社区 精装两室好房子 业主诚心出租"
"54平米","1室1厅1卫","简单装修","付3押1","1800元/月","19/20","雁塔","卡斯摩小院","朝南","整租","普通住宅","大寨路","昆明路3号桥 时代风尚 一室一厅 家具家电全带"
"20平米","2室1厅1卫","精装修","付3押1","650元/月","14/32","雁塔","伟业公馆","朝南","合租","普通住宅","大寨路","伟业公馆 科技路西口 丈八北路地铁口 华润万家 温馨单间出租"
"38平米","3室1厅2卫","精装修","付1押1","1500元/月","22/36","雁塔","皇家公馆","朝南","合租","普通住宅","小寨","小寨西路 主卧独卫 阳阳国际双气全通采光充足拎包入住 急租！"
"137平米","3室2厅1卫","精装修","半年付","2800元/月","19/24","莲湖","旭景名园","西南","整租","普通住宅","西关正街","西稍门 旭景名园 精装大三室好房 有钥匙 随时看 拎包住"
"50平米","1室1卫","精装修","付3押1","1500元/月","29/29","未央","文景西区","朝南","整租","普通住宅","行政中心","凤城九路 文景学校旁文景西区一室精装修 拎包入住 急租"
"60平米","1室2厅1卫","精装修","半年付","1800元/月","23/23","碑林","玫瑰坊","朝西","整租","普通住宅","东关正街","玫瑰坊1室2厅1卫1800，干净整洁，随时入住"
"25平米","1室1卫","精装修","付3押1","1400元/月","14/24","雁塔","高新枫尚","朝西","整租","普通住宅","光华路","高新路糜家桥旁 简单整洁一居室 交通便利 拎包入住 看房方便"
"140平米","3室2厅2卫","精装修","付3押1","3800元/月","12/18","雁塔","群贤花园","南北","整租","普通住宅","科技路","群贤花园南北通透三居室基本全配拎包入住楼层好采光好"
"30平米","4室2厅2卫","豪华装修","付1押1","1100元/月","18/30","雁塔","华城国际","朝南","合租","普通住宅","电视塔","电视塔，华城国际，精美合租房，主卧带卫生间，押一付一"
"50平米","1室1厅1卫","简单装修","半年付","1400元/月","9/18","雁塔","明德新天地","朝北","整租","普通住宅","明德门","明德门新天地经典小户型业主诚心出租 随时看房"
"67平米","1室1厅1卫","精装修","面议","2400元/月","5/25","雁塔","天地源枫林意树","南北","整租","普通住宅","木塔寺公园","科技六路枫林意树多套一室两室三室四室豪装房源"
